N п/п из Перечня,Группа продукции,Структурный элемент или объект,Пункт/статья в ТР ТС,Пункт/раздел стандарта,Обозначение и наименование стандарта
1382,Школьно-письменные принадлежности,выделение вредных для здоровья химических веществ: ксилолы (смесь изомеров),статья 8 ,,"Инструкция 4.1.10-14-91-2005 ""Газохроматографический метод определения остаточных мономеров и неполимеризующихся примесей, выделяющихся из полистирольных пластиков в воде, модельных средах и пищевых продуктах"""
1383,Школьно-письменные принадлежности,выделение вредных для здоровья химических веществ: ксилолы (смесь изомеров),статья 8 ,,"МУК 4.1.1205-03 ""Газохроматографическое определение бензола, трихлорэтилена, толуола, тетрахлорэтилена, хлорбензола, этилбензола, м-, п-ксилолов, о-ксилола, стирола, изопропилбензола, ортохлортолуола и нафталина в воде"""
1384,Школьно-письменные принадлежности,выделение вредных для здоровья химических веществ: кумол (изопропилбензол),статья 8 ,,"МУК 4.1.3166-14 ""Газохроматографическое определение гексана, гептана, ацетальдегида, ацетона, метилацетата, этилацетата, метанола, изопропанола, акрилонитрила, н-пропанола, н-пропилацетата, бутилацетата, изобутанола, н-бутанола, бензола, толуола, этилбензола, м-, о- и п-ксилолов, изопропилбензола, стирола, альфа-метилстирола в воде и водных вытяжках из материалов различного состава"" (свидетельство об аттестации N 01.00282-2008/0153.16.01.13 от 16.01.2013, номер в реестре ФР.1.31.2013.16740)"
1385,Школьно-письменные принадлежности,выделение вредных для здоровья химических веществ: кумол (изопропилбензол),статья 8 ,,"МУК 4.1.3167-14 ""Газохроматографическое определение гексана, гептана, бензола, толуола, этилбензола, м-, о-, п-ксилолов, изопропилбензола, н-пропилбензола, стирола, -метилстирола, бензальдегида в атмосферном воздухе, воздухе испытательной камеры и замкнутых помещений"" (свидетельство об аттестации N 01.00282-2008/0155.16.01.13 от 16.01.2013, номер в реестре ФР.1.31.2013.16742)"
1386,Школьно-письменные принадлежности,выделение вредных для здоровья химических веществ: кумол (изопропилбензол),статья 8 ,,"МУК 4.1.1205-03 ""Газохроматографическое определение бензола, трихлорэтилена, толуола, тетрахлорэтилена, хлорбензола, этилбензола, м-, п-ксилолов, о-ксилола, стирола, изопропилбензола, ортохлортолуола и нафталина в воде"""
1387,Школьно-письменные принадлежности,выделение вредных для здоровья химических веществ: метилметакрилат,статья 8 ,,"ГОСТ ISO 16000-6-2016 ""Воздух замкнутых помещений. Часть 6. Определение летучих органических соединений в воздухе замкнутых помещений и испытательной камеры путем активного отбора проб на сорбент Tenax TA с последующей термической десорбцией и газохроматографическим анализом с использованием МСД/ПИД"""
1388,Школьно-письменные принадлежности,выделение вредных для здоровья химических веществ: метилметакрилат,статья 8 ,,"ГОСТ 22648-77 ""Пластмассы. Методы определения гигиенических показателей"""
1389,Школьно-письменные принадлежности,выделение вредных для здоровья химических веществ: метилметакрилат,статья 8 ,,"МУК 4.1.3171-14 ""Газохроматографическое определение ацетальдегида, ацетона, метилацетата, метанола, этанола, метилакрилата, метилметакрилата, этилакрилата, изобутилакрилата, бутилакрилата, бутилметакрилата, толуола, стирола, -метилстирола в воде и водных вытяжках из материалов различного состава"" (свидетельство об аттестации N 01.00282-2008/0160.19.03.13 от 19.03.2013, номер в реестре ФР.1.31.2013.16751)"
1390,Школьно-письменные принадлежности,выделение вредных для здоровья химических веществ: метилацетат,статья 8 ,,"МУК 4.1.3166-14 ""Газохроматографическое определение гексана, гептана, ацетальдегида, ацетона, метилацетата, этилацетата, метанола, изопропанола, акрилонитрила, н-пропанола, н-пропилацетата, бутилацетата, изобутанола, н-бутанола, бензола, толуола, этилбензола, м-, о- и п-ксилолов, изопропилбензола, стирола, альфа-метилстирола в воде и водных вытяжках из материалов различного состава"" (свидетельство об аттестации N 01.00282-2008/0153.16.01.13 от 16.01.2013, номер в реестре ФР.1.31.2013.16740)"
1391,Школьно-письменные принадлежности,выделение вредных для здоровья химических веществ: метилацетат,статья 8 ,,"МУК 4.1.3170-14 ""Газохроматографическое определение ацетальдегида, ацетона, метилацетата, этилацетата, метанола, изопропанола, этанола, н-пропилацетата, н-пропанола, изобутилацетата, бутилацетата, изобутанола, н-бутанола в атмосферном воздухе, воздухе испытательной камеры и замкнутых помещений"" (свидетельство об аттестации N 01.00282-2008/0154.16.01.13 от 16.01.2013, номер в реестре ФР.1.31.2013.16741)"
1392,Школьно-письменные принадлежности,выделение вредных для здоровья химических веществ: метилацетат,статья 8 ,,"МУК 4.1.3171-14 ""Газохроматографическое определение ацетальдегида, ацетона, метилацетата, метанола, этанола, метилакрилата, метилметакрилата, этилакрилата, изобутилакрилата, бутилакрилата, бутилметакрилата, толуола, стирола, -метилстирола в воде и водных вытяжках из материалов различного состава"" (свидетельство об аттестации N 01.00282-2008/0160.19.03.13 от 19.03.2013, номер в реестре ФР.1.31.2013.16751)"
1393,Школьно-письменные принадлежности,выделение вредных для здоровья химических веществ: метиленхлорид,статья 8 ,,"МУК 4.1.646-96 ""Методические указания по газохроматографическому определению галогенсодержащих веществ в воде"""
1394,Школьно-письменные принадлежности,выделение вредных для здоровья химических веществ: метиленхлорид,статья 8 ,,"МУК 4.1.649-96 ""Методические указания по хромато-масс-спектрометрическому определению летучих органических веществ в воде"""
1395,Школьно-письменные принадлежности,выделение вредных для здоровья химических веществ: -метилстирол,статья 8 ,,"ГОСТ 15820-82 ""Полистирол и сополимеры стирола. Газохроматографический метод определения остаточных мономеров и неполимеризующихся примесей"""
1396,Школьно-письменные принадлежности,выделение вредных для здоровья химических веществ: -метилстирол,статья 8 ,,"МУК 4.1.3166-14 ""Газохроматографическое определение гексана, гептана, ацетальдегида, ацетона, метилацетата, этилацетата, метанола, изопропанола, акрилонитрила, н-пропанола, н-пропилацетата, бутилацетата, изобутанола, н-бутанола, бензола, толуола, этилбензола, м-, о- и п-ксилолов, изопропилбензола, стирола, альфа-метилстирола в воде и водных вытяжках из материалов различного состава"" (свидетельство об аттестации N 01.00282-2008/0153.16.01.13 от 16.01.2013, номер в реестре ФР.1.31.2013.16740)"
1397,Школьно-письменные принадлежности,выделение вредных для здоровья химических веществ: -метилстирол,статья 8 ,,"МУК 4.1.3167-14 ""Газохроматографическое определение гексана, гептана, бензола, толуола, этилбензола, м-, о-, п-ксилолов, изопропилбензола, н-пропилбензола, стирола, -метилстирола, бензальдегида в атмосферном воздухе, воздухе испытательной камеры и замкнутых помещений"" (свидетельство об аттестации N 01.00282-2008/0155.16.01.13 от 16.01.2013, номер в реестре ФР.1.31.2013.16742)"
1398,Школьно-письменные принадлежности,выделение вредных для здоровья химических веществ: -метилстирол,статья 8 ,,"МУ 4628-88 ""Методические указания по газохроматографическому определению остаточных мономеров и неполимеризующихся примесей, выделяющихся из полистирольных пластиков в воде, модельных средах и пищевых продуктах"""
1399,Школьно-письменные принадлежности,выделение вредных для здоровья химических веществ: спирт метиловый,статья 8 ,,"МУК 4.1.3166-14 ""Газохроматографическое определение гексана, гептана, ацетальдегида, ацетона, метилацетата, этилацетата, метанола, изопропанола, акрилонитрила, н-пропанола, н-пропилацетата, бутилацетата, изобутанола, н-бутанола, бензола, толуола, этилбензола, м-, о- и п-ксилолов, изопропилбензола, стирола, альфа-метилстирола в воде и водных вытяжках из материалов различного состава"" (свидетельство об аттестации N 01.00282-2008/0153.16.01.13 от 16.01.2013, номер в реестре ФР.1.31.2013.16740)"
1400,Школьно-письменные принадлежности,выделение вредных для здоровья химических веществ: спирт метиловый,статья 8 ,,"МУК 4.1.3170-14 ""Газохроматографическое определение ацетальдегида, ацетона, метилацетата, этилацетата, метанола, изопропанола, этанола, н-пропилацетата, н-пропанола, изобутилацетата, бутилацетата, изобутанола, н-бутанола в атмосферном воздухе, воздухе испытательной камеры и замкнутых помещений"" (свидетельство об аттестации N 01.00282-2008/0154.16.01.13 от 16.01.2013, номер в реестре ФР.1.31.2013.16741)"
1401,Школьно-письменные принадлежности,выделение вредных для здоровья химических веществ: спирт метиловый,статья 8 ,,"МУК 4.1.3171-14 ""Газохроматографическое определение ацетальдегида, ацетона, метилацетата, метанола, этанола, метилакрилата, метилметакрилата, этилакрилата, изобутилакрилата, бутилакрилата, бутилметакрилата, толуола, стирола, -метилстирола в воде и водных вытяжках из материалов различного состава"" (свидетельство об аттестации N 01.00282-2008/0160.19.03.13 от 19.03.2013, номер в реестре ФР.1.31.2013.16751)"
1402,Школьно-письменные принадлежности,выделение вредных для здоровья химических веществ: спирт метиловый,статья 8 ,,"МУК 4.1.650-96 ""Методические указания по газохроматографическому определению ацетона, метанола, бензола, толуола, этилбензола, пентана, о-, м-, п-ксилола, гексана, октана и декана в воде"""
1403,Школьно-письменные принадлежности,выделение вредных для здоровья химических веществ: спирт метиловый,статья 8 ,,"Инструкция 4.1.10-15-90-2005 ""Осуществление государственного надзора за производством и применением полимерных материалов класса полиолефинов, предназначенных для контакта с пищевыми продуктами"""
1404,Школьно-письменные принадлежности,выделение вредных для здоровья химических веществ: спирт метиловый,статья 8 ,,"Инструкция 2.3.3.10-15-64-2005 ""Санитарно-химические исследования изделий, изготовленных из полимерных и других синтетических материалов, контактирующих с пищевыми продуктами"""
1405,Школьно-письменные принадлежности,выделение вредных для здоровья химических веществ: спирт метиловый,статья 8 ,,"МУК 4.1.598-96 ""Методические указания по газохроматографическому определению ароматических, серосодержащих, галогеносодержащих веществ, метанола, ацетона и ацетонитрила в атмосферном воздухе"""
1406,Школьно-письменные принадлежности,выделение вредных для здоровья химических веществ: спирт пропиловый,статья 8 ,,"МУК 4.1.3166-14 ""Газохроматографическое определение гексана, гептана, ацетальдегида, ацетона, метилацетата, этилацетата, метанола, изопропанола, акрилонитрила, н-пропанола, н-пропилацетата, бутилацетата, изобутанола, н-бутанола, бензола, толуола, этилбензола, м-, о- и п-ксилолов, изопропилбензола, стирола, альфа-метилстирола в воде и водных вытяжках из материалов различного состава"" (свидетельство об аттестации N 01.00282-2008/0153.16.01.13 от 16.01.2013, номер в реестре ФР.1.31.2013.16740)"
1407,Школьно-письменные принадлежности,выделение вредных для здоровья химических веществ: спирт пропиловый,статья 8 ,,"МУК 4.1.3170-14 ""Газохроматографическое определение ацетальдегида, ацетона, метилацетата, этилацетата, метанола, изопропанола, этанола, н-пропилацетата, н-пропанола, изобутилацетата, бутилацетата, изобутанола, н-бутанола в атмосферном воздухе, воздухе испытательной камеры и замкнутых помещений"" (свидетельство об аттестации N 01.00282-2008/0154.16.01.13 от 16.01.2013, номер в реестре ФР.1.31.2013.16741)"
1408,Школьно-письменные принадлежности,выделение вредных для здоровья химических веществ: спирт изопропиловый,статья 8 ,,"МУК 4.1.3166-14 ""Газохроматографическое определение гексана, гептана, ацетальдегида, ацетона, метилацетата, этилацетата, метанола, изопропанола, акрилонитрила, н-пропанола, н-пропилацетата, бутилацетата, изобутанола, н-бутанола, бензола, толуола, этилбензола, м-, о- и п-ксилолов, изопропилбензола, стирола, альфа-метилстирола в воде и водных вытяжках из материалов различного состава"" (свидетельство об аттестации N 01.00282-2008/0153.16.01.13 от 16.01.2013, номер в реестре ФР.1.31.2013.16740)"
1409,Школьно-письменные принадлежности,выделение вредных для здоровья химических веществ: спирт изопропиловый,статья 8 ,,"МУК 4.1.3170-14 ""Газохроматографическое определение ацетальдегида, ацетона, метилацетата, этилацетата, метанола, изопропанола, этанола, н-пропилацетата, н-пропанола, изобутилацетата, бутилацетата, изобутанола, н-бутанола в атмосферном воздухе, воздухе испытательной камеры и замкнутых помещений"" (свидетельство об аттестации N 01.00282-2008/0154.16.01.13 от 16.01.2013, номер в реестре ФР.1.31.2013.16741)"
1410,Школьно-письменные принадлежности,выделение вредных для здоровья химических веществ: спирт изопропиловый,статья 8 ,,"МУ 4149-86 ""Методические указания по осуществлению государственного надзора за производством и применением полимерных материалов класса полиолефинов, предназначенных для контакта с пищевыми продуктами"""
1411,Школьно-письменные принадлежности,выделение вредных для здоровья химических веществ: спирт изопропиловый,статья 8 ,,"Инструкция 4.1.10-15-90-2005 ""Осуществление государственного надзора за производством и применением полимерных материалов класса полиолефинов, предназначенных для контакта с пищевыми продуктами"""
1412,Школьно-письменные принадлежности,"выделение вредных для здоровья химических веществ: спирт бутиловый, спирт изобутиловый",статья 8 ,,"МУК 4.1.3166-14 ""Газохроматографическое определение гексана, гептана, ацетальдегида, ацетона, метилацетата, этилацетата, метанола, изопропанола, акрилонитрила, н-пропанола, н-пропилацетата, бутилацетата, изобутанола, н-бутанола, бензола, толуола, этилбензола, м-, о- и п-ксилолов, изопропилбензола, стирола, альфа-метилстирола в воде и водных вытяжках из материалов различного состава"" (свидетельство об аттестации N 01.00282-2008/0153.16.01.13 от 16.01.2013, номер в реестре ФР.1.31.2013.16740)"
1413,Школьно-письменные принадлежности,"выделение вредных для здоровья химических веществ: спирт бутиловый, спирт изобутиловый",статья 8 ,,"МУК 4.1.3170-14 ""Газохроматографическое определение ацетальдегида, ацетона, метилацетата, этилацетата, метанола, изопропанола, этанола, н-пропилацетата, н-пропанола, изобутилацетата, бутилацетата, изобутанола, н-бутанола в атмосферном воздухе, воздухе испытательной камеры и замкнутых помещений"" (свидетельство об аттестации N 01.00282-2008/0154.16.01.13 от 16.01.2013, номер в реестре ФР.1.31.2013.16741)"
1414,Школьно-письменные принадлежности,"выделение вредных для здоровья химических веществ: спирт бутиловый, спирт изобутиловый",статья 8 ,,"МУК 4.1.654-96 ""Методические указания по газохроматографическому определению бутаналя, бутанола, изизобутанола, 2-этилгексаналя, 2-этилгексеналя и 2-этилгексанола в воде"""
1415,Школьно-письменные принадлежности,"выделение вредных для здоровья химических веществ: спирт бутиловый, спирт изобутиловый",статья 8 ,,"Инструкция 4.1.10-15-90-2005 ""Осуществление государственного санитарного надзора за производством и применением полимерных материалов класса полиолефинов, предназначенных для контакта с пищевыми продуктами"""
1416,Школьно-письменные принадлежности,выделение вредных для здоровья химических веществ: стирол,статья 8 ,,"ГОСТ 15820-82 ""Полистирол и сополимеры стирола. Газохроматографический метод определения остаточных мономеров и неполимеризующихся примесей"""
1417,Школьно-письменные принадлежности,выделение вредных для здоровья химических веществ: стирол,статья 8 ,,"ГОСТ 22648-77 ""Пластмассы. Методы определения гигиенических показателей"""
1418,Школьно-письменные принадлежности,выделение вредных для здоровья химических веществ: стирол,статья 8 ,,"МУК 4.1.3166-14 ""Газохроматографическое определение гексана, гептана, ацетальдегида, ацетона, метилацетата, этилацетата, метанола, изопропанола, акрилонитрила, н-пропанола, н-пропилацетата, бутилацетата, изобутанола, н-бутанола, бензола, толуола, этилбензола, м-, о- и п-ксилолов, изопропилбензола, стирола, альфа-метилстирола в воде и водных вытяжках из материалов различного состава"" (свидетельство об аттестации N 01.00282-2008/0153.16.01.13 от 16.01.2013, номер в реестре ФР.1.31.2013.16740)"
1419,Школьно-письменные принадлежности,выделение вредных для здоровья химических веществ: стирол,статья 8 ,,"МУК 4.1.3167-14 ""Газохроматографическое определение гексана, гептана, бензола, толуола, этилбензола, м-, о-, п-ксилолов, изопропилбензола, н-пропилбензола, стирола, -метилстирола, бензальдегида в атмосферном воздухе, воздухе испытательной камеры и замкнутых помещений"" (свидетельство об аттестации N 01.00282-2008/0155.16.01.13 от 16.01.2013, номер в реестре ФР.1.31.2013.16742)"
1420,Школьно-письменные принадлежности,выделение вредных для здоровья химических веществ: стирол,статья 8 ,,"МУК 4.1.3171-14 ""Газохроматографическое определение ацетальдегида, ацетона, метилацетата, метанола, этанола, метилакрилата, метилметакрилата, этилакрилата, изобутилакрилата, бутилакрилата, бутилметакрилата, толуола, стирола, -метилстирола в воде и водных вытяжках из материалов различного состава"" (свидетельство об аттестации N 01.00282-2008/0160.19.03.13 от 19.03.2013, номер в реестре ФР.1.31.2013.16751)"
1421,Школьно-письменные принадлежности,выделение вредных для здоровья химических веществ: стирол,статья 8 ,,"МУК 4.1.739-99 ""Хромато-масс-спектрометрическое определение бензола, толуола, хлорбензола, этилбензола, о-ксилола, стирола в воде"""
1422,Школьно-письменные принадлежности,выделение вредных для здоровья химических веществ: стирол,статья 8 ,,"МУК 4.1.1205-03 ""Газохроматографическое определение бензола, трихлорэтилена, толуола, тетрахлорэтилена, хлорбензола, этилбензола, м-, п-ксилолов, о-ксилола, стирола, изопропилбензола, ортохлортолуола и нафталина в воде"""
1423,Школьно-письменные принадлежности,выделение вредных для здоровья химических веществ: стирол,статья 8 ,,"МУК 4.1.649-96 ""Методические указания по хромато-масс-спектрометрическому определению летучих органических веществ в воде"""
1424,Школьно-письменные принадлежности,выделение вредных для здоровья химических веществ: стирол,статья 8 ,,"МУК 4.1.598-96 ""Методические указания по газохроматографическому определению ароматических, серосодержащих, галогеносодержащих веществ, метанола, ацетона и ацетонитрила в атмосферном воздухе"""
1425,Школьно-письменные принадлежности,выделение вредных для здоровья химических веществ: стирол,статья 8 ,,"Инструкция 4.1.10-14-101-2005 ""Методы исследования полимерных материалов для гигиенической оценки"""
1426,Школьно-письменные принадлежности,выделение вредных для здоровья химических веществ: стирол,статья 8 ,,"МВИ. МН 1401-2000 ""Методика выполнения измерений концентраций стирола в водной и водно-спиртовых средах, имитирующих алкогольные напитки, методом газовой хроматографии"""
1427,Школьно-письменные принадлежности,выделение вредных для здоровья химических веществ: толуол,статья 8 ,,"МУК 4.1.3166-14 ""Газохроматографическое определение гексана, гептана, ацетальдегида, ацетона, метилацетата, этилацетата, метанола, изопропанола, акрилонитрила, н-пропанола, н-пропилацетата, бутилацетата, изобутанола, н-бутанола, бензола, толуола, этилбензола, м-, о- и п-ксилолов, изопропилбензола, стирола, альфа-метилстирола в воде и водных вытяжках из материалов различного состава"" (свидетельство об аттестации N 01.00282-2008/0153.16.01.13 от 16.01.2013, номер в реестре ФР.1.31.2013.16740)"
1428,Школьно-письменные принадлежности,выделение вредных для здоровья химических веществ: толуол,статья 8 ,,"МУК 4.1.3167-14 ""Газохроматографическое определение гексана, гептана, бензола, толуола, этилбензола, м-, о-, п-ксилолов, изопропилбензола, н-пропилбензола, стирола, -метилстирола, бензальдегида в атмосферном воздухе, воздухе испытательной камеры и замкнутых помещений"" (свидетельство об аттестации N 01.00282-2008/0155.16.01.13 от 16.01.2013, номер в реестре ФР.1.31.2013.16742)"
1429,Школьно-письменные принадлежности,выделение вредных для здоровья химических веществ: толуол,статья 8 ,,"МУК 4.1.3171-14 ""Газохроматографическое определение ацетальдегида, ацетона, метилацетата, метанола, этанола, метилакрилата, метилметакрилата, этилакрилата, изобутилакрилата, бутилакрилата, бутилметакрилата, толуола, стирола, -метилстирола в воде и водных вытяжках из материалов различного состава"" (свидетельство об аттестации N 01.00282-2008/0160.19.03.13 от 19.03.2013, номер в реестре ФР.1.31.2013.16751)"
1430,Школьно-письменные принадлежности,выделение вредных для здоровья химических веществ: толуол,статья 8 ,,"МУК 4.1.650-96 ""Методические указания по газохроматографическому определению ацетона, метанола, бензола, толуола, этилбензола, пентана, о-, м-, п-ксилола, гексана, октана и декана в воде"""
1431,Школьно-письменные принадлежности,выделение вредных для здоровья химических веществ: толуол,статья 8 ,,"МУК 4.1.739-99 ""Хромато-масс-спектрометрическое определения бензола, толуола, хлорбензола, этилбензола, о-ксилола, стирола в воде"""
1432,Школьно-письменные принадлежности,выделение вредных для здоровья химических веществ: толуол,статья 8 ,,"МУК 4.1.1205-03 ""Газохроматографическое определение бензола, трихлорэтилена, толуола, тетрахлорэтилена, хлорбензола, этилбензола, м-, п-ксилолов, о-ксилола, стирола, изопропилбензола, ортохлортолуола и нафталина в воде"""
1433,Школьно-письменные принадлежности,выделение вредных для здоровья химических веществ: толуол,статья 8 ,,"МУК 4.1.649-96 ""Методические указания по хромато-масс-спектрометрическому определению летучих органических веществ в воде"""
1434,Школьно-письменные принадлежности,выделение вредных для здоровья химических веществ: толуол,статья 8 ,,"МУК 4.1.651-96 ""Методические указания по газохроматографическому определению толуола в воде"""
1435,Школьно-письменные принадлежности,выделение вредных для здоровья химических веществ: толуол,статья 8 ,,"МУК 4.1.598-96 ""Методические указания по газохроматографическому определению ароматических, серосодержащих, галогеносодержащих веществ, метанола, ацетона и ацетонитрила в атмосферном воздухе"""
1436,Школьно-письменные принадлежности,выделение вредных для здоровья химических веществ: толуол,статья 8 ,,"Инструкция 4.1.10-14-91-2005 ""Газохроматографический метод определения остаточных мономеров и неполимеризующихся примесей, выделяющихся из полистирольных пластиков в воде, модельных средах и пищевых продуктах"""
1437,Школьно-письменные принадлежности,выделение вредных для здоровья химических веществ: толуол,статья 8 ,,"Инструкция 4.1.11-11-13-2004 ""Методика выполнения измерений концентраций бензола, толуола, хлорбензола, этилбензола, о-ксилола, стирола в воде методом хромато-масс-спектрометрии"""
1438,Школьно-письменные принадлежности,выделение вредных для здоровья химических веществ: фенол,статья 8 ,,"ГОСТ ISO 16000-6-2016 ""Воздух замкнутых помещений. Часть 6. Определение летучих органических соединений в воздухе замкнутых помещений и испытательной камеры путем активного отбора проб на сорбент TenaxTA с последующей термической десорбцией и газохроматографическим анализом с использованием МСД/ПИД"""
1439,Школьно-письменные принадлежности,выделение вредных для здоровья химических веществ: фенол,статья 8 ,,"МУК 4.1.752-99 ""Газохроматографическое определение фенола в воде"""
1440,Школьно-письменные принадлежности,выделение вредных для здоровья химических веществ: фенол,статья 8 ,,"МУК 4.1.647-96 ""Методические указания по газохроматографическому определению фенола в воде"""
1441,Школьно-письменные принадлежности,выделение вредных для здоровья химических веществ: фенол,статья 8 ,,"МУК 4.1.737-99 ""Хромато-масс-спектрометрическое определение фенолов в воде"""
1442,Школьно-письменные принадлежности,выделение вредных для здоровья химических веществ: фенол,статья 8 ,,"МУК 4.1.1263-03 ""Измерение массовой концентрации фенолов общих и летучих флуориметрическим методом в пробах питьевой воды и воды поверхностных и подземных источников водопользования"""
1443,Школьно-письменные принадлежности,выделение вредных для здоровья химических веществ: фенол,статья 8 ,,"РД 52.24.488-95 ""Методика выполнения измерений массовой концентрации определением суммы летучих фенолов в воде фотометрическим методом после отгонки с паром"""
1444,Школьно-письменные принадлежности,выделение вредных для здоровья химических веществ: фенол,статья 8 ,,"РД 52.24.488-2022 ""Суммарная массовая концентрация летучих фенолов в водах. Методика измерений экстракционно-фотометрическим методом с 4-аминоантипирином после отгонки с водяным паром"" (свидетельство об аттестации 488.RA.RU.311345-2022 от 15.04.2022, номер в реестре ФР.1.31.2022.43113)"
1445,Школьно-письменные принадлежности,выделение вредных для здоровья химических веществ: фенол,статья 8 ,,"МУК 4.1.598-96 ""Методические указания по газохроматографическому определению ароматических, серосодержащих, галогеносодержащих веществ, метанола, ацетона и ацетонитрила в атмосферном воздухе"""
1446,Школьно-письменные принадлежности,выделение вредных для здоровья химических веществ: фенол,статья 8 ,,"МУК 4.1.1271-03 ""Измерение массовой концентрации фенола флуориметрическим методом в воздухе рабочей зоны и атмосферном воздухе населенных мест"""
1447,Школьно-письменные принадлежности,выделение вредных для здоровья химических веществ: фенол,статья 8 ,,"Инструкция 2.3.3.10-15-64-2005 ""Санитарно-химические исследования изделий, изготовленных из полимерных и других синтетических материалов, контактирующих с пищевыми продуктами"""
1448,Школьно-письменные принадлежности,выделение вредных для здоровья химических веществ: фенол,статья 8 ,,"МВИ.МН 1924-2003 ""Методика газохроматографического определения фенола и эпихлоргидрина в модельных средах, имитирующих пищевые продукты"""
1449,Школьно-письменные принадлежности,выделение вредных для здоровья химических веществ: фенол,статья 8 ,,"ПНДФ 14.1:2:4.182-02 (издание 2010 г.) ""Методика измерений массовой концентрации фенолов (общих и летучих) в пробах природных, питьевых и сточных вод флуориметрическим методом на анализаторе жидкости ""Флюорат-02"" (свидетельство об аттестации 223.1.0107/01.0258/2010 от 24.09.2010; номер в реестре ФР.1.31.2006.02371)"
